nd ,Gender,Country,Age,Income,Marital-Stat5,workclass,credit-score,Learning,Tenure,Balance,Products,Education,Occupation,Target
0,0,0,53,20000,0,5,18396,8,7,100000,6,0,1,0
1,0,2,28,100000,0,0,10886,4,4,101300,5,1,0,0
2,0,0,35,200000,1,0,71561,4,4,104000,3,1,0,0
3,0,2,43,50000,1,0,49390,4,4,102449,3,0,0,0
4,0,6,29,100000,1,0,99302,4,4,105712,3,1,0,0
5,1,0,44,180000,1,2,1110,3,3,101110,2,2,2,0
6,0,2,30,280000,0,4,2946,2,2,103326,1,3,3,0
7,0,0,43,160000,0,4,0,5,2,100000,1,3,2,0
8,0,2,27,310000,0,2,833,3,3,100323,2,2,2,0
9,0,0,40,420000,1,0,33561,4,4,105900,5,1,0,0
10,0,2,35,260000,1,1,1013,6,2,100000,2,1,0,1
11,1,0,32,200000,0,1,88808,6,6,100000,-1,0,1,1
12,0,2,30,70000,0,4,-25,-1,2,100000,1,3,2,0
13,0,0,23,10000,0,6,4205,3,8,100000,6,0,1,1
14,0,0,41,180000,1,0,184650,4,2,100000,1,3,3,0
15,0,1,24,70000,0,0,5633,4,4,101114,3,1,0,0
16,0,2,32,220000,0,4,21332,2,2,128567,1,3,3,0
17,0,2,34,50000,0,2,1884,3,3,101077,-1,2,2,0
18,0,1,46,370000,1,4,6370,2,2,102120,1,3,3,0
19,1,2,40,460000,1,0,235388,4,4,108000,3,1,0,0
20,0,1,40,50000,1,0,31297,4,4,101476,3,1,0,0
21,1,2,52,200000,1,2,2343,3,3,103943,2,2,2,0
22,1,2,44,100000,1,0,37222,4,4,102000,3,1,0,0
23,1,0,28,200000,0,0,162439,4,4,104000,3,1,0,0
24,0,1,46,40000,1,2,50,-1,6,101800,3,2,2,0
25,0,2,31,420000,0,0,127901,4,4,103900,-1,2,0,0
26,0,0,39,400000,0,4,0,5,2,100000,1,3,3,1
27,0,0,37,480000,1,2,5269,3,3,102217,2,2,2,0
28,0,4,39,190000,0,0,109023,4,4,104000,3,1,0,0
29,0,2,39,500000,0,4,1950,2,2,102900,2,1,2,1
30,0,2,40,210000,1,0,206803,4,4,107876,3,1,0,0
31,1,2,42,380000,1,2,4377,3,3,100000,2,3,2,0
32,0,1,23,50000,0,0,32644,4,4,102000,-1,1,0,0
33,0,2,32,200000,0,2,0,5,3,102300,2,3,3,0
34,1,1,28,30000,0,1,22323,6,6,104000,3,1,0,1
35,0,0,24,30000,0,1,27954,-1,4,100000,-1,1,0,0
36,0,1,53,20000,0,2,4400,3,2,100000,1,2,2,0
37,0,2,28,140000,0,4,0,5,2,100000,1,3,3,0
38,1,1,51,20000,1,0,14962,4,4,102890,3,1,0,0
39,0,2,46,220000,1,1,249449,7,6,109501,3,1,0,0
40,1,2,48,190000,1,0,189158,-1,4,106561,3,3,3,0
41,0,2,23,30000,0,4,4000,5,2,105645,1,2,2,0
42,1,0,30,60000,0,2,921,3,6,101498,2,2,2,0
43,0,2,34,290000,1,0,276365,4,4,109263,3,1,0,0
44,0,1,49,50000,2,0,49402,4,4,101800,3,1,1,0
45,0,0,31,300000,1,0,5361,4,4,101060,2,2,2,0
46,0,1,47,120000,1,0,16224,4,4,102001,3,1,0,0
47,0,0,28,140000,1,1,1953,3,3,100000,2,2,2,1
48,0,1,35,70000,1,1,69852,-1,6,100000,5,1,0,1
49,1,2,42,50000,0,1,44350,5,6,100000,5,0,1,0
50,0,0,54,150000,2,0,138765,4,4,104772,3,1,0,0
51,0,2,28,80000,0,0,57776,4,4,101200,3,1,1,0
52,0,0,37,10000,0,2,6993,3,3,106495,2,1,0,0
53,1,6,47,10000,0,0,7968,4,4,101000,-1,2,2,0
54,0,0,28,300000,0,0,272399,6,4,111232,3,1,0,1
55,1,1,32,150000,0,2,3706,5,4,140093,3,1,0,0
56,0,2,35,450000,1,2,403,3,2,100000,-1,2,2,0
57,1,0,54,30000,0,0,10568,4,6,103000,5,0,1,0
58,1,2,37,50000,0,0,11533,6,4,101612,3,1,1,0
59,1,2,27,30000,0,0,18239,-1,4,102000,3,2,2,0
60,1,2,54,300000,1,4,0,2,2,100000,-1,3,3,0
61,0,0,38,70000,1,1,73688,5,4,100000,-1,0,0,1
62,1,2,24,50000,0,1,1959,3,3,100000,2,2,0,0
63,1,0,30,90000,0,2,370,3,3,100370,3,1,2,0
64,0,0,38,50000,1,0,3239,4,4,101000,1,3,3,0
65,1,0,38,110000,1,1,103202,6,6,102500,5,1,0,1
66,0,2,39,210000,0,2,3962,3,3,101777,3,2,2,0
67,0,2,33,310000,0,0,71855,4,4,105000,3,1,0,0
68,1,2,47,390000,1,2,5768,3,3,108875,2,2,2,0
69,0,0,25,30000,0,1,4471,3,6,101500,3,1,0,0
70,0,2,50,270000,0,2,3095,3,3,102340,2,1,2,0
71,0,2,23,30000,0,5,26185,5,8,104518,6,0,4,0
72,1,2,46,360000,1,0,14591,4,4,103005,3,1,0,1
73,0,2,33,200000,1,4,0,5,2,100000,1,3,3,0
74,0,0,51,90000,1,0,12822,-1,4,101188,3,1,0,0
75,0,2,34,150000,1,4,0,5,2,100000,2,2,3,0
76,0,0,33,260000,1,0,112501,4,4,104000,3,1,0,0
77,0,0,41,290000,0,0,286391,4,4,110000,3,1,0,0
78,0,1,31,300000,0,0,92235,4,4,104505,3,1,0,0
79,0,0,45,250000,1,4,2218,2,2,104940,1,3,3,0
80,0,0,23,70000,0,0,32244,4,4,101841,3,1,0,0
81,0,1,45,50000,0,0,51400,4,2,100000,1,3,3,0
82,0,2,36,250000,0,0,111204,4,4,105600,3,1,0,0
83,0,0,48,240000,1,2,101,3,2,100000,1,3,3,1
84,0,2,25,70000,0,2,2781,3,4,118180,3,2,2,0
85,1,0,26,50000,0,0,37862,-1,4,101304,3,0,0,0
86,0,2,25,50000,0,0,50380,4,4,104000,1,3,3,0
87,0,2,29,420000,0,4,392,2,3,100400,3,1,0,0
88,0,0,22,30000,0,0,25536,4,4,101800,3,0,0,0
89,0,0,32,50000,1,0,46610,4,4,102021,3,1,0,0
90,0,2,28,140000,0,2,7588,3,3,117015,-1,2,2,0
91,0,0,39,30000,1,3,1742,3,6,100000,3,2,4,0
92,1,1,29,180000,0,4,4358,2,2,103169,1,3,2,0
93,1,0,43,210000,1,0,47025,4,4,102300,3,1,0,0
94,0,2,29,280000,0,2,2187,3,3,101469,2,2,2,0
95,0,1,38,20000,0,2,12193,-1,6,105015,3,2,2,0
96,0,2,26,30000,0,1,13890,5,6,102000,5,1,0,1
97,1,0,24,30000,0,0,12800,4,2,100000,-1,2,3,0
98,1,2,33,230000,0,0,56754,4,4,103000,3,1,0,0
99,1,2,46,250000,1,2,1197,3,3,100000,2,2,2,1
100,0,2,38,480000,1,0,384150,4,4,115000,3,1,0,0
101,1,2,29,70000,0,0,32938,4,4,101548,5,1,0,0
102,0,1,45,20000,1,0,14064,6,4,103000,3,1,0,1
